config	context	policy	criterion	score	code_pass	code_total
C0_5+web	ctx-M	P5	C1_content_quality	5	12	12
C0_5+web	ctx-M	P5	C2_contextual_adaptation	5	12	12
C0_5+web	ctx-M	P5	C3_evidence_citation	5	12	12
C0_5+web	ctx-M	P5	C4_implementability	5	12	12
C0_5+web	ctx-M	P5	C5_regulatory_alignment	5	12	12
C0_5+web	ctx-M	P5	C6_source_attribution	5	12	12
C0_5+web	ctx-M	P5	C7_resource_consideration	2	12	12
C0_5+web	ctx-M	P3	C1_content_quality	5	12	12
C0_5+web	ctx-M	P3	C2_contextual_adaptation	5	12	12
C0_5+web	ctx-M	P3	C3_evidence_citation	5	12	12
C0_5+web	ctx-M	P3	C4_implementability	5	12	12
C0_5+web	ctx-M	P3	C5_regulatory_alignment	5	12	12
C0_5+web	ctx-M	P3	C6_source_attribution	4	12	12
C0_5+web	ctx-M	P3	C7_resource_consideration	2	12	12
C0_5+web	ctx-M	P2	C1_content_quality	5	11	12
C0_5+web	ctx-M	P2	C2_contextual_adaptation	5	11	12
C0_5+web	ctx-M	P2	C3_evidence_citation	5	11	12
C0_5+web	ctx-M	P2	C4_implementability	5	11	12
C0_5+web	ctx-M	P2	C5_regulatory_alignment	5	11	12
C0_5+web	ctx-M	P2	C6_source_attribution	5	11	12
C0_5+web	ctx-M	P2	C7_resource_consideration	2	11	12
C0_5+web	ctx-M	P4	C1_content_quality	5	11	12
C0_5+web	ctx-M	P4	C2_contextual_adaptation	5	11	12
C0_5+web	ctx-M	P4	C3_evidence_citation	5	11	12
C0_5+web	ctx-M	P4	C4_implementability	5	11	12
C0_5+web	ctx-M	P4	C5_regulatory_alignment	5	11	12
C0_5+web	ctx-M	P4	C6_source_attribution	4	11	12
C0_5+web	ctx-M	P4	C7_resource_consideration	2	11	12
C0_5+web	ctx-M	P1	C1_content_quality	5	11	12
C0_5+web	ctx-M	P1	C2_contextual_adaptation	5	11	12
C0_5+web	ctx-M	P1	C3_evidence_citation	5	11	12
C0_5+web	ctx-M	P1	C4_implementability	5	11	12
C0_5+web	ctx-M	P1	C5_regulatory_alignment	4	11	12
C0_5+web	ctx-M	P1	C6_source_attribution	4	11	12
C0_5+web	ctx-M	P1	C7_resource_consideration	2	11	12
C0_5+web	ctx-H	P5	C1_content_quality	5	11	12
C0_5+web	ctx-H	P5	C2_contextual_adaptation	5	11	12
C0_5+web	ctx-H	P5	C3_evidence_citation	5	11	12
C0_5+web	ctx-H	P5	C4_implementability	4	11	12
C0_5+web	ctx-H	P5	C5_regulatory_alignment	5	11	12
C0_5+web	ctx-H	P5	C6_source_attribution	5	11	12
C0_5+web	ctx-H	P5	C7_resource_consideration	5	11	12
